Parent_Fund_Code,Master_Fund_Code,Trade_Date,Currency,Trans_Type,Amount
="013  ",="013",20250410,CDD,PT ,1819.49
="013  ",="013",20250410,CDD,RT ,1819.49
="013  ",="349",20250410,CDD,FEE,-12.84
="013  ",="349",20250410,CDD,PT ,0.41
="013  ",="349",20250409,CDD,RT ,38.15
="013  ",="349",20250410,CDD,RT ,42168.15
="013  ",="349",20250409,CDD,WSR,38.15
="013  ",="5330",20250409,CDD,PT ,2504.63
="013  ",="5330",20250409,CDD,RT ,60642.36
="013  ",="5330",20250409,CDD,WSP,2504.63
="013  ",="5330",20250409,CDD,WSR,51884.25
="030  ",="030",20250409,CDD,RT ,50.11
="030  ",="030",20250410,CDD,RT ,100
="030  ",="030",20250409,CDD,WSR,50.11
="030  ",="062",20250410,CDD,RT ,117.31
="031  ",="031",20250410,CDD,RT ,9761.01
="032  ",="032",20250410,CDD,RT ,89.58
="036  ",="036",20250410,CDD,RT ,38228.95
="038  ",="038",20250410,CDD,RT ,9578.95
="040  ",="040",20250410,CDD,RT ,2451.03
="041  ",="041",20250410,CDD,RT ,1251.08
="042  ",="042",20250410,CDD,RT ,179.16
="044  ",="044",20250410,CDD,RT ,89.58
="052  ",="052",20250410,CDD,RT ,26499.09
="055  ",="087",20250410,CDD,RT ,239.12
="101  ",="101",20250410,USD,PT ,503582.19
="101  ",="101",20250410,USD,RT ,16000
="101  ",="80335",20250410,USD,PT ,5708099.57
="101  ",="80335",20250410,USD,RT ,160658.07
="101  ",="90335",20250410,USD,PT ,115159.09
="101  ",="90335",20250410,USD,RT ,4086.72
="101  ",="9398",20250410,USD,RT ,757393.09
="11106",="11006",20250410,CDD,FEE,-39.85
="11106",="11006",20250331,CDD,PT ,-32
="11106",="11006",20250408,CDD,PT ,35447.1
="11106",="11006",20250409,CDD,PT ,2300956.41
="11106",="11006",20250410,CDD,PT ,352283
="11106",="11006",20250409,CDD,RT ,752536.63
="11106",="11006",20250410,CDD,RT ,1661523.1
="11106",="11006",20250409,USD,RT ,28740.53
="11106",="11006",20250409,CDD,WSP,2299488.49
="11106",="11006",20250409,CDD,WSR,751068.74
="11106",="11006",20250409,USD,WSR,28740.53
="11106",="11056",20250409,CDD,RT ,22530.03
="11106",="11056",20250409,CDD,WSR,22530.03
="11106",="11106",20241220,CDD,DR ,15.9200000000001
="11106",="11106",20241115,CDD,PT ,76
="11106",="11106",20241202,CDD,PT ,76
="11106",="11106",20241216,CDD,PT ,76
="11106",="11106",20241231,CDD,PT ,11648.04
="11106",="11106",20250102,CDD,PT ,76
="11106",="11106",20250107,CDD,PT ,-11572.09
="11106",="11106",20250115,CDD,PT ,76
="11106",="11106",20250203,CDD,PT ,76
="11106",="11106",20250218,CDD,PT ,76
="11106",="11106",20250303,CDD,PT ,76
="11106",="11106",20250408,CDD,PT ,-608
="11106",="11106",20250409,CDD,PT ,214249.37
="11106",="11106",20250410,CDD,PT ,442607.97
="11106",="11106",20250410,USD,PT ,8219.52
="11106",="11106",20241231,CDD,RT ,12275.01
="11106",="11106",20250107,CDD,RT ,-12347.16
="11106",="11106",20250409,CDD,RT ,745163.9
="11106",="11106",20250410,CDD,RT ,777578.19
="11106",="11106",20250410,USD,RT ,8219.52
="11106",="11106",20250409,CDD,WSP,207158.11
="11106",="11106",20250409,CDD,WSR,744976.4
="11106",="11506",20250410,CDD,FEE,-5.79
="11106",="11506",20250409,CDD,PT ,6649924.8
="11106",="11506",20250410,CDD,PT ,6.53
="11106",="11506",20250409,CDD,RT ,112204.19
="11106",="11506",20250409,CDD,WSP,2214633.91
="11106",="11506",20250409,CDD,WSR,6411.93
="11106",="15177",20250409,CDD,RT ,5000
="11106",="15177",20250409,CDD,WSR,5000
="11106",="16177",20250409,CDD,PT ,1482.04
="11106",="16177",20250410,CDD,PT ,428
="11106",="16177",20250409,CDD,RT ,9212.28
="11106",="16177",20250410,CDD,RT ,509.93
="11106",="16177",20250409,CDD,WSP,1482.04
="11106",="16177",20250409,CDD,WSR,9212.28
="11106",="18177",20250410,CDD,FEE,-4.01
="11106",="18177",20250410,CDD,PT ,595
="11106",="18177",20250409,CDD,RT ,15223.53
="11106",="18177",20250410,CDD,RT ,6380.99
="11106",="18177",20250409,CDD,WSR,15223.53
="11106",="90051",20250410,CDD,FEE,-7.24
="11106",="90051",20250410,CDD,PT ,505
="11106",="90051",20250410,CDD,RT ,7000
="11109",="11009",20250409,CDD,PT ,3.2
="11109",="11009",20250409,CDD,RT ,5156.93
="11109",="11009",20250410,CDD,RT ,148.14
="11109",="11009",20250409,CDD,WSP,3.2
="11109",="11009",20250409,CDD,WSR,5156.93
="11109",="11109",20250409,CDD,PT ,62.5
="11109",="11109",20250410,CDD,PT ,17944.13
="11109",="11109",20250409,CDD,RT ,6339.49
="11109",="11109",20250410,CDD,RT ,23099.74
="11109",="11109",20250409,CDD,WSP,62.5
="11109",="11109",20250409,CDD,WSR,5839.49
="11109",="11509",20250409,CDD,RT ,464.06
="11109",="18158",20250409,CDD,RT ,655.22
="11109",="18158",20250409,CDD,WSR,655.22
="11111",="11011",20250409,CDD,PT ,52277.5
="11111",="11011",20250410,CDD,PT ,20242.58
="11111",="11011",20250409,CDD,RT ,97976.63
="11111",="11011",20250410,CDD,RT ,12553.03
="11111",="11011",20250409,USD,RT ,3534.62
="11111",="11011",20250409,CDD,WSP,52277.5
="11111",="11011",20250409,CDD,WSR,97976.63
="11111",="11011",20250409,USD,WSR,3534.62
="11111",="11111",20250409,CDD,PT ,83436.5
="11111",="11111",20250410,CDD,PT ,229716.44
="11111",="11111",20250409,CDD,RT ,219919.41
="11111",="11111",20250410,CDD,RT ,476836.61
="11111",="11111",20250409,CDD,WSP,76890
="11111",="11111",20250409,CDD,WSR,209722.31
="11111",="11511",20250409,CDD,RT ,4134.1
="11111",="15152",20250409,CDD,RT ,1199.91
="11111",="15152",20250409,CDD,WSR,1199.91
="11111",="16152",20250409,CDD,RT ,181252.61
="11111",="16152",20250410,CDD,RT ,10961.87
="11111",="16152",20250409,CDD,WSR,181252.61
="11111",="18152",20250409,CDD,FEE,-2.69
="11111",="18152",20250410,CDD,FEE,-31.52
="11111",="18152",20250410,CDD,PT ,400
="11111",="18152",20250409,CDD,RT ,21125.01
="11111",="18152",20250410,CDD,RT ,54510.86
="11111",="18152",20250409,CDD,WSR,17285.01
="11111",="2950",20250409,CDD,PT ,150
="11111",="2950",20250409,CDD,RT ,11634.44
="11111",="2950",20250409,CDD,WSP,150
="11111",="2950",20250409,CDD,WSR,11634.44
="11111",="4950",20250409,CDD,RT ,190
="11111",="4950",20250409,CDD,WSR,190
="11111",="90157",20250409,CDD,RT ,7589.31
="11111",="90157",20250410,CDD,RT ,246.5
="11111",="90157",20250409,CDD,WSR,7589.31
="11112",="11012",20250410,CDD,FEE,-1.33
="11112",="11012",20250331,CDD,PT ,-24
="11112",="11012",20250409,CDD,PT ,185135.63
="11112",="11012",20250410,CDD,PT ,141473.94
="11112",="11012",20250409,CDD,RT ,333474.54
="11112",="11012",20250410,CDD,RT ,89977.68
="11112",="11012",20250409,CDD,WSP,183433.6
="11112",="11012",20250409,CDD,WSR,331772.55
="11112",="11062",20250410,CDD,RT ,1500
="11112",="11112",20250409,CDD,PT ,102199.84
="11112",="11112",20250410,CDD,PT ,148918.28
="11112",="11112",20250409,CDD,RT ,779255.54
="11112",="11112",20250410,CDD,RT ,377222.67
="11112",="11112",20250409,CDD,WSP,101914.24
="11112",="11112",20250409,CDD,WSR,779255.54
="11112",="11512",20250409,CDD,PT ,1178.82
="11112",="11512",20250410,CDD,PT ,1.25
="11112",="11512",20250409,CDD,RT ,159194.07
="11112",="11512",20250410,CDD,RT ,225.45
="11112",="11512",20250409,CDD,WSP,125.37
="11112",="11512",20250409,CDD,WSR,23416.2
="11112",="16064",20250409,CDD,RT ,1423.46
="11112",="16064",20250410,CDD,RT ,891.25
="11112",="16064",20250409,CDD,WSR,1423.46
="11112",="18064",20250410,CDD,PT ,300
="11112",="18064",20250409,CDD,RT ,3780.86
="11112",="18064",20250410,CDD,RT ,1106.3
="11112",="18064",20250409,CDD,WSR,3780.86
="11112",="18240",20250409,CDD,RT ,84.45
="11112",="18240",20250410,CDD,RT ,3444.75
="11112",="18240",20250409,CDD,WSR,84.45
="11112",="90055",20250410,CDD,PT ,405
="11113",="11013",20250409,CDD,PT ,23151.26
="11113",="11013",20250410,CDD,PT ,82369.88
="11113",="11013",20250410,USD,PT ,363.42
="11113",="11013",20250409,CDD,RT ,18667.66
="11113",="11013",20250410,CDD,RT ,60355.47
="11113",="11013",20250409,CDD,WSP,23151.26
="11113",="11013",20250409,CDD,WSR,18667.66
="11113",="11113",20250409,CDD,PT ,26575
="11113",="11113",20250410,CDD,PT ,40076.62
="11113",="11113",20250409,CDD,RT ,46878.16
="11113",="11113",20250410,CDD,RT ,24190.47
="11113",="11113",20250409,CDD,WSP,19575
="11113",="11113",20250409,CDD,WSR,39878.16
="11113",="11513",20250410,CDD,PT ,1889
="11113",="16162",20250409,CDD,RT ,2260.31
="11113",="16162",20250410,CDD,RT ,2537.67
="11113",="16162",20250409,CDD,WSR,2260.31
="11113",="18162",20250410,CDD,FEE,-18.58
="11113",="18162",20250409,CDD,RT ,249.71
="11113",="18162",20250409,CDD,WSR,249.71
="11113",="18279",20250410,CDD,PT ,6175.55
="11113",="18279",20250410,CDD,RT ,8761.75
="11113",="90064",20250410,USD,PT ,18750
="11113",="90064",20250409,USD,RT ,33574.48
="11113",="90064",20250409,USD,WSR,33574.48
="11115",="11015",20250410,CDD,FEE,-5.51
="11115",="11015",20250410,CDD,PT ,74974.16
="11115",="11015",20250409,CDD,RT ,22890.75
="11115",="11015",20250410,CDD,RT ,76521.08
="11115",="11015",20250409,CDD,WSR,22890.75
="11115",="11115",20250409,CDD,PT ,5310
="11115",="11115",20250410,CDD,PT ,50344.06
="11115",="11115",20250409,CDD,RT ,613084.11
="11115",="11115",20250410,CDD,RT ,135453.98
="11115",="11115",20250409,CDD,WSP,5160
="11115",="11115",20250409,CDD,WSR,613084.11
="11115",="15174",20250409,CDD,RT ,1442.25
="11115",="15174",20250409,CDD,WSR,1442.25
="11115",="16174",20250410,CDD,PT ,43361.46
="11115",="16174",20250409,CDD,RT ,4212.43
="11115",="16174",20250410,CDD,RT ,46201.73
="11115",="16174",20250409,CDD,WSR,4212.43
="11115",="18174",20250409,CDD,RT ,2672.54
="11115",="18174",20250409,CDD,WSR,2672.54
="11115",="90050",20250409,CDD,RT ,1400
="11115",="90050",20250409,CDD,WSR,1400
="11118",="11018",20250409,CDD,PT ,10735.15
="11118",="11018",20250410,CDD,PT ,87148.8
="11118",="11018",20250409,CDD,RT ,19804.3
="11118",="11018",20250410,CDD,RT ,1980
="11118",="11018",20250409,CDD,WSP,10735.15
="11118",="11018",20250409,CDD,WSR,19804.3
="11118",="11118",20250409,CDD,PT ,12334.16
="11118",="11118",20250410,CDD,PT ,3115.52
="11118",="11118",20250409,CDD,RT ,75622.76
="11118",="11118",20250410,CDD,RT ,7732.85
="11118",="11118",20250409,CDD,WSP,11070
="11118",="11118",20250409,CDD,WSR,74358.6
="11118",="11518",20250409,CDD,PT ,2152.89
="11118",="11518",20250410,CDD,PT ,1.2
="11118",="11518",20250409,CDD,RT ,10540.95
="11118",="15180",20250409,CDD,RT ,300
="11118",="15180",20250409,CDD,WSR,300
="11118",="16180",20250410,CDD,PT ,112.5
="11118",="16180",20250409,CDD,RT ,300.67
="11118",="16180",20250410,CDD,RT ,153.09
="11118",="16180",20250409,CDD,WSR,300.67
="11118",="18180",20250409,CDD,RT ,1435.19
="11118",="18180",20250409,CDD,WSR,1435.19
="11118",="90052",20250409,CDD,RT ,625.44
="11118",="90052",20250409,CDD,WSR,625.44
="12000",="12000",20250410,CDD,RT ,60
="12007",="12047",20250410,CDD,PT ,268702.87
="12007",="12047",20250410,CDD,RT ,268843.17
="12110",="12110",20250410,CDD,PT ,37.5
="12110",="12710",20250409,CDD,RT ,543.46
="12110",="12710",20250410,CDD,RT ,2145.39
="12110",="12710",20250409,CDD,WSR,543.46
="12112",="12112",20250409,CDD,RT ,53.05
="12112",="12112",20250410,CDD,RT ,56.34
="12112",="12112",20250409,CDD,WSR,53.05
="12112",="12712",20250410,CDD,RT ,2926.51
="12112",="18331",20250410,CDD,RT ,1621.64
="12113",="12113",20250410,CDD,RT ,60
="12113",="12713",20250409,CDD,RT ,654.6
="12113",="12713",20250410,CDD,RT ,1631.1
="12113",="12713",20250409,CDD,WSR,654.6
="12121",="12121",20250410,CDD,RT ,1100.98
="12122",="12122",20250410,CDD,PT ,25
="12122",="12122",20250410,CDD,RT ,76.49
="12126",="12126",20250410,CDD,RT ,76.49
