DATE,CODE,TYPE,SYMBOL,FUND_NAME,QUANTITY,PRICE,AMOUNT,ADJUST_AMOUNT,PERC_AFFECT
25/06/30,="021",S,="US7986",CI Cdn Investment Segregated Fund,13.004,53.5725,592.58,696.67,-1e-06
25/06/30,="022",S,="US5103",CI Premier Canadian Bal Seg Fund,156.777,12.239,1841.1,1918.79,1e-06
25/06/30,="023",S,="US908",CI Synergy American Segregated Fund,2.721,95.3125,233.4,259.31,-1e-06
25/06/30,="025",S,="US858",CI Select Global Segregated Fund,4.29,64.072,249.95,274.88,-5e-06
25/06/30,="030",S,="US7986",CI Canadian Investment GIF Class A,9.951,53.5725,119.41,533.11,0
25/06/30,="031",S,="US5103",CI Premier Canadian Bal GIF Cls A,35.404,12.239,180.08,433.31,1e-06
25/06/30,="034",S,="US858",CI Select Global GIF,4.602,64.072,51.87,294.88,0
25/06/30,="036",S,="US5320",CI Global Inc & Growth GIF,26.119,26.941,440.18,703.67,0
25/06/30,="038",S,="US5111",CI Premier Global Inc & Growth GIF,77.789,11.9152,823.79,926.87,0
25/06/30,="040",S,="US5103",CI Canadian Balanced GIF,16.821,12.239,37.5,205.87,0
25/06/30,="041",S,="US904",CI Select Canadian GIF,61.935,32.6477,1714.82,2022.02,-1e-06
25/06/30,="042",S,="US5101",CI Dividend Inc & Growth GIF,81.839,15.9752,922.41,1307.39,0
25/06/30,="045",S,="US872",CI Money Market GIF,116.059,10,1063.83,1160.59,0
25/06/30,="052",S,="US5100",CI High Income GIF,149.069,12.0018,1529.07,1789.1,-1e-06
25/06/30,="053",S,="US506",CI Conservative GIF Portfolio,0.588,53.8062,20.34,31.66,0
25/06/30,="053",S,="US5100",CI Conservative GIF Portfolio,15.291,12.0018,117.95,183.52,0
25/06/30,="053",S,="US5102",CI Conservative GIF Portfolio,10.983,9.7945,69.14,107.57,0
25/06/30,="053",S,="US55237",CI Conservative GIF Portfolio,0.45,56.2481,16.27,25.31,0
25/06/30,="053",S,="US6503",CI Conservative GIF Portfolio,1.228,30.9345,24.4,37.98,0
25/06/30,="053",S,="US7986",CI Conservative GIF Portfolio,0.709,53.5725,24.4,37.97,0
25/06/30,="053",S,="US904",CI Conservative GIF Portfolio,1.551,32.6477,32.54,50.63,0
25/06/30,="053",S,="US913",CI Conservative GIF Portfolio,0.279,68.0701,12.2,18.98,0
25/06/30,="053",S,="US972",CI Conservative GIF Portfolio,0.273,29.7745,8.13,8.13,0
25/06/30,="054",S,="US506",CI Moderate GIF Portfolio,1.633,53.8062,61.97,87.85,0
25/06/30,="054",S,="US5100",CI Moderate GIF Portfolio,39.24,12.0018,470.95,470.95,0
25/06/30,="054",S,="US5102",CI Moderate GIF Portfolio,14.351,9.7945,99.15,140.56,0
25/06/30,="054",S,="US5318",CI Moderate GIF Portfolio,0.831,21.1273,12.39,17.57,0
25/06/30,="054",S,="US55237",CI Moderate GIF Portfolio,1.249,56.2481,49.57,70.27,0
25/06/30,="054",S,="US6503",CI Moderate GIF Portfolio,2.84,30.9345,61.97,87.85,0
25/06/30,="054",S,="US7968",CI Moderate GIF Portfolio,0.921,76.2697,49.57,70.27,0
25/06/30,="054",S,="US7986",CI Moderate GIF Portfolio,6.559,53.5725,247.87,351.39,0
25/06/30,="054",S,="US904",CI Moderate GIF Portfolio,4.305,32.6477,99.15,140.56,0
25/06/30,="054",S,="US908",CI Moderate GIF Portfolio,0.553,95.3125,37.18,52.71,0
25/06/30,="054",S,="US913",CI Moderate GIF Portfolio,1.032,68.0701,49.57,70.27,0
25/06/30,="062",S,="US7986",CI Canadian Investment GIF Class B,53.718,53.5725,2768.85,2877.8,0
25/06/30,="063",S,="US5103",CI Premier Canadian Bal GIF Cls B,20.529,12.239,166.67,251.26,1e-06
25/06/30,="068",S,="US5320",CI Global Inc & Growth GIF B,107.53,26.941,2876.81,2896.97,-1e-06
25/06/30,="070",S,="US5111",CI Premier Global Inc & Growth GIF B,9.757,11.9152,104.35,116.26,2e-06
25/06/30,="084",S,="US5100",CI High Income GIF Class B,34.918,12.0018,321.81,419.08,0
25/06/30,="085",S,="US506",CI Conservative GIF Portfolio Class B,0.309,53.8062,14.58,16.61,0
25/06/30,="085",S,="US5100",CI Conservative GIF Portfolio Class B,8.025,12.0018,84.54,96.32,0
25/06/30,="085",S,="US5102",CI Conservative GIF Portfolio Class B,5.765,9.7945,49.56,56.46,0
